[Feb 27, 2015 14:40:42 0-error] Error: You must provide a new profile title. Error Code: 
[May 4, 2015 14:25:40 0-error] [] Fileoptions raw file contents for troubleshooting: ``.
[May 4, 2015 14:25:44 0-error] [] Fileoptions raw file contents for troubleshooting: ``.
[Jun 16, 2015 07:20:47 0-error] [] Fileoptions raw file contents for troubleshooting: ``.
[Jun 16, 2015 07:23:15 0-error] [] Fileoptions raw file contents for troubleshooting: ``.
[Feb 22, 2016 10:02:53 0-error] [] Fileoptions raw file contents for troubleshooting: ``.
[Mar 30, 2016 06:49:02 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Mar 30, 2016 06:49:02 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/wp-content/uploads/pb_backupbuddy/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Mar 30, 2016 06:49:02 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/wp-content/uploads/backupbuddy_temp/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Mar 30, 2016 06:49:03 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Mar 31, 2016 04:59:52 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Mar 31, 2016 04:59:52 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/wp-content/uploads/pb_backupbuddy/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Mar 31, 2016 04:59:53 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/wp-content/uploads/backupbuddy_temp/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Mar 31, 2016 04:59:53 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 1, 2016 09:30:39 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 1, 2016 09:30:39 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/pb_backupbuddy/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 1, 2016 09:30:39 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_temp/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 1, 2016 09:30:39 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 2, 2016 05:54:48 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 2, 2016 05:54:48 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/pb_backupbuddy/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 2, 2016 05:54:49 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_temp/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 2, 2016 05:54:49 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 4, 2016 05:40:58 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 4, 2016 05:40:58 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/pb_backupbuddy/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
